type,affix,lang,word,trans
infix,di,Welsh,biodiversity,bioamrywiaeth
infix,dist,Basque,equidistant,distantzia
infix,dist,Catalan,equidistant,equidistant
infix,dist,Finnish,equidistant,tasavälinen
infix,dist,French,equidistant,équidistants
infix,dist,German,equidistant,äquidistante
infix,dist,Icelandic,equidistant,jafnlangt
infix,dist,Irish,equidistant,comhfhad
infix,dist,Italian,equidistant,equidistante
infix,dist,Latin,equidistant,aequidistantes
infix,dist,Luxembourg,equidistant,äquidistante
infix,dist,Norwegian,equidistant,equidistant
infix,dist,Portuguese,equidistant,equidistante
infix,dist,Scottish,equidistant,equidistant
infix,dist,Spanish,equidistant,equidistante
infix,dist,Swedish,equidistant,ekvidistant
infix,dist,Welsh,equidistant,gytbell
infix,hydr,Basque,anhydrate,anhidrido
infix,hydr,Basque,dehydrate,deshidratazioa
infix,hydr,Catalan,anhydrate,anhidrat
infix,hydr,Catalan,dehydrate,deshidratar
infix,hydr,Danish,anhydrate,anhydrat
infix,hydr,Danish,dehydrate,dehydrere
infix,hydr,Dutch,anhydrate,anhydraat
infix,hydr,Dutch,dehydrate,uitdrogen
infix,hydr,Estonian,anhydrate,anhüdraat
infix,hydr,Estonian,dehydrate,veetustada
infix,hydr,Finnish,anhydrate,anhydraatti
infix,hydr,Finnish,dehydrate,dehydraatti
infix,hydr,French,anhydrate,anhydrate
infix,hydr,French,dehydrate,déshydrater
infix,hydr,German,anhydrate,anhydrat
infix,hydr,German,dehydrate,dehydrieren
infix,hydr,Hungarian,anhydrate,anhidrát
infix,hydr,Hungarian,dehydrate,dehidrát
infix,hydr,Icelandic,anhydrate,anhýdrat
infix,hydr,Icelandic,dehydrate,þurrka
infix,hydr,Irish,anhydrate,anhydrate
infix,hydr,Irish,dehydrate,dehydrate
infix,hydr,Italian,anhydrate,anidrato
infix,hydr,Italian,dehydrate,disidratare
infix,hydr,Latin,anhydrate,anhydrate
infix,hydr,Latin,dehydrate,dehydrate
infix,hydr,Luxembourg,anhydrate,anhydrat
infix,hydr,Luxembourg,dehydrate,dehydrieren
infix,hydr,Norwegian,anhydrate,anhydrat
infix,hydr,Norwegian,dehydrate,dehydrere
infix,hydr,Portuguese,anhydrate,anidrato
infix,hydr,Portuguese,dehydrate,desidratar
infix,hydr,Scottish,anhydrate,anhydrate
infix,hydr,Scottish,dehydrate,dehydrate
infix,hydr,Spanish,anhydrate,anhidrato
infix,hydr,Spanish,dehydrate,deshidratar
infix,hydr,Swedish,anhydrate,anhydrat
infix,hydr,Swedish,dehydrate,dehydrate
infix,hydr,Welsh,anhydrate,anhydrate
infix,hydr,Welsh,dehydrate,dadhydradu
infix,just,Basque,injustice,injustizia
infix,just,Catalan,injustice,injustícia
infix,just,Danish,injustice,uretfærdighed
infix,just,Dutch,injustice,onrecht
infix,just,Estonian,injustice,ebaõiglus
infix,just,Finnish,injustice,epäoikeudenmukaisuus
infix,just,French,injustice,injustice
infix,just,German,injustice,Ungerechtigkeit
infix,just,Hungarian,injustice,igazságtalanság
infix,just,Icelandic,injustice,óréttlæti
infix,just,Irish,injustice,éagóir
infix,just,Italian,injustice,ingiustizia
infix,just,Latin,injustice,iniustitia
infix,just,Luxembourg,injustice,Ungerechtigkeit
infix,just,Norwegian,injustice,urettferdighet
infix,just,Portuguese,injustice,injustica
infix,just,Scottish,injustice,ana-cheartas
infix,just,Spanish,injustice,injusticia
infix,just,Swedish,injustice,orättvis
infix,just,Welsh,injustice,anghyfiawnder
infix,morph,Basque,amorphous,amorfoa
infix,morph,Basque,heteromorphic,heteromorfoa
infix,morph,Basque,metamorphosis,metamorfosia
infix,morph,Catalan,amorphous,amorfa
infix,morph,Catalan,heteromorphic,heteromòrfic
infix,morph,Catalan,metamorphosis,metamorfosi
infix,morph,Danish,amorphous,amorf
infix,morph,Danish,heteromorphic,heteromorfe
infix,morph,Danish,metamorphosis,metamorfose
infix,morph,Dutch,amorphous,amorf
infix,morph,Dutch,heteromorphic,heteromorf
infix,morph,Dutch,metamorphosis,metamorfose
infix,morph,Estonian,amorphous,amorfne
infix,morph,Estonian,heteromorphic,heteromorfne
infix,morph,Estonian,metamorphosis,metamorfoos
infix,morph,Finnish,amorphous,amorfinen
infix,morph,Finnish,heteromorphic,heteromorfinen
infix,morph,Finnish,metamorphosis,metamorfoosi
infix,morph,French,amorphous,amorphe
infix,morph,French,heteromorphic,hétéromorphe
infix,morph,French,metamorphosis,métamorphose
infix,morph,German,amorphous,amorph
infix,morph,German,heteromorphic,heteromorph
infix,morph,German,metamorphosis,Metamorphose
infix,morph,Hungarian,amorphous,amorf
infix,morph,Hungarian,heteromorphic,heteromorf
infix,morph,Hungarian,metamorphosis,metamorfózis
infix,morph,Icelandic,amorphous,formlaust
infix,morph,Icelandic,heteromorphic,heteromorphin
infix,morph,Icelandic,metamorphosis,myndbreyting
infix,morph,Irish,amorphous,éagruthach
infix,morph,Irish,heteromorphic,heteromorphic
infix,morph,Irish,metamorphosis,meiteamorfóis
infix,morph,Italian,amorphous,amorfo
infix,morph,Italian,heteromorphic,eteromorfa
infix,morph,Italian,metamorphosis,metamorfosi
infix,morph,Latin,amorphous,amorphous
infix,morph,Latin,heteromorphic,heteromorphic
infix,morph,Latin,metamorphosis,metamorphosis
infix,morph,Latvian,amorphous,amorfs
infix,morph,Latvian,heteromorphic,heteromorfisks
infix,morph,Latvian,metamorphosis,metamorfoze
infix,morph,Luxembourg,amorphous,amorph
infix,morph,Luxembourg,heteromorphic,heteromorph
infix,morph,Luxembourg,metamorphosis,Metamorphose
infix,morph,Norwegian,amorphous,amorf
infix,morph,Norwegian,heteromorphic,heteromorf
infix,morph,Norwegian,metamorphosis,metamorfose
infix,morph,Portuguese,amorphous,amorfo
infix,morph,Portuguese,heteromorphic,heteromórfico
infix,morph,Portuguese,metamorphosis,metamorfose
infix,morph,Scottish,amorphous,amorphous
infix,morph,Scottish,heteromorphic,heteromorphic
infix,morph,Scottish,metamorphosis,metamorphosis
infix,morph,Spanish,amorphous,amorfo
infix,morph,Spanish,heteromorphic,heteromórfico
infix,morph,Spanish,metamorphosis,metamorfosis
infix,morph,Swedish,amorphous,amorf
infix,morph,Swedish,heteromorphic,heteromorf
infix,morph,Swedish,metamorphosis,metamorfos
infix,morph,Welsh,amorphous,amorffaidd
infix,morph,Welsh,heteromorphic,heteromorphic
infix,morph,Welsh,metamorphosis,metamorffosis
infix,mort,Basque,immortal,hilezkorra
infix,mort,Catalan,immortal,immortal
infix,mort,Danish,immortal,udødelig
infix,mort,Dutch,immortal,onsterfelijk
infix,mort,Estonian,immortal,surematu
infix,mort,Finnish,immortal,kuolematon
infix,mort,French,immortal,immortel
infix,mort,German,immortal,unsterblich
infix,mort,Hungarian,immortal,halhatatlan
infix,mort,Icelandic,immortal,ódauðlegur
infix,mort,Italian,immortal,immortale
infix,mort,Latin,immortal,immortalis
infix,mort,Luxembourg,immortal,onstierflech
infix,mort,Norwegian,immortal,udødelig
infix,mort,Portuguese,immortal,imortal
infix,mort,Spanish,immortal,inmortal
infix,mort,Swedish,immortal,odödlig
infix,mort,Welsh,immortal,anfarwol
infix,nat,Basque,unnatural,unnatural
infix,nat,Catalan,unnatural,antinatural
infix,nat,Danish,unnatural,unaturlig
infix,nat,Dutch,unnatural,onnatuurlijk
infix,nat,Estonian,unnatural,ebaloomulik
infix,nat,Finnish,unnatural,luonnoton
infix,nat,German,unnatural,unnatürlich
infix,nat,Hungarian,unnatural,természetellenes
infix,nat,Icelandic,unnatural,óeðlilegt
infix,nat,Irish,unnatural,shantaigh
infix,nat,Italian,unnatural,innaturale
infix,nat,Latvian,unnatural,nedabisks
infix,nat,Luxembourg,unnatural,unnatürlich
infix,nat,Norwegian,unnatural,unaturlig
infix,nat,Portuguese,unnatural,natural
infix,nat,Scottish,unnatural,unnatural
infix,nat,Spanish,unnatural,antinatural
infix,nat,Swedish,unnatural,onaturlig
infix,nat,Welsh,unnatural,annaturiol
infix,olog,Basque,anthropologic,antropologiko
infix,olog,Basque,geology,geologia
infix,olog,Basque,meteorology,meteorologia
infix,olog,Basque,mythology,mitologia
infix,olog,Catalan,anthropologic,antropològic
infix,olog,Catalan,geology,geologia
infix,olog,Catalan,meteorology,meteorologia
infix,olog,Catalan,mythology,mitologia
infix,olog,Danish,anthropologic,antropologisk
infix,olog,Danish,geology,geologi
infix,olog,Danish,meteorology,meteorologi
infix,olog,Danish,mythology,mytologi
infix,olog,Dutch,anthropologic,antropologisch
infix,olog,Dutch,geology,geologie
infix,olog,Dutch,meteorology,meteorologie
infix,olog,Dutch,mythology,mythologie
infix,olog,Estonian,anthropologic,antropoloogiline
infix,olog,Estonian,geology,geoloogia
infix,olog,Estonian,meteorology,Meteoroloogia
infix,olog,Estonian,mythology,mütoloogia
infix,olog,Finnish,anthropologic,antropologinen
infix,olog,Finnish,geology,geologia
infix,olog,Finnish,meteorology,meteorologia
infix,olog,Finnish,mythology,mytologia
infix,olog,French,anthropologic,anthropologique
infix,olog,French,geology,Géologie
infix,olog,French,meteorology,Météorologie
infix,olog,French,mythology,mythologie
infix,olog,German,anthropologic,anthropologisch
infix,olog,German,geology,Geologie
infix,olog,German,meteorology,meteorologie
infix,olog,German,mythology,Mythologie
infix,olog,Hungarian,anthropologic,antropológiai
infix,olog,Hungarian,geology,geológia
infix,olog,Hungarian,meteorology,meteorológia
infix,olog,Hungarian,mythology,mitológia
infix,olog,Icelandic,anthropologic,mannfræði
infix,olog,Icelandic,geology,jarðfræði
infix,olog,Icelandic,meteorology,veðurfræði
infix,olog,Icelandic,mythology,goðafræði
infix,olog,Irish,anthropologic,anthropologic
infix,olog,Irish,geology,geolaíocht
infix,olog,Irish,meteorology,meitéareolaíocht
infix,olog,Irish,mythology,miotaseolaíocht
infix,olog,Italian,anthropologic,antropologico
infix,olog,Italian,geology,Geologia
infix,olog,Italian,meteorology,meteorologia
infix,olog,Italian,mythology,mitologia
infix,olog,Latin,anthropologic,anthropologic
infix,olog,Latin,geology,nederlandicae
infix,olog,Latin,meteorology,meteorology
infix,olog,Latin,mythology,fabularis
infix,olog,Luxembourg,anthropologic,anthropologisch
infix,olog,Luxembourg,geology,Geologie
infix,olog,Luxembourg,meteorology,meteorologie
infix,olog,Luxembourg,mythology,Mythologie
infix,olog,Norwegian,anthropologic,antropologiske
infix,olog,Norwegian,geology,geologi
infix,olog,Norwegian,meteorology,meteorologi
infix,olog,Norwegian,mythology,mytologi
infix,olog,Portuguese,anthropologic,antropológico
infix,olog,Portuguese,geology,geologia
infix,olog,Portuguese,meteorology,Meteorologia
infix,olog,Portuguese,mythology,mitologia
infix,olog,Scottish,anthropologic,anthropologic
infix,olog,Scottish,geology,geòlas
infix,olog,Spanish,anthropologic,antropológico
infix,olog,Spanish,geology,geología
infix,olog,Spanish,meteorology,meteorología
infix,olog,Spanish,mythology,mitología
infix,olog,Swedish,anthropologic,antropologiska
infix,olog,Swedish,geology,geologi
infix,olog,Swedish,meteorology,meteorologiska
infix,olog,Swedish,mythology,mytologi
infix,olog,Welsh,anthropologic,anthropologic
infix,olog,Welsh,geology,daeareg
infix,olog,Welsh,meteorology,meteoroleg
infix,olog,Welsh,mythology,mytholeg
infix,phil,Basque,anglophile,anglofiloak
infix,phil,Basque,francophilia,frankofilia
infix,phil,Catalan,anglophile,anglòfil
infix,phil,Catalan,francophilia,francofília
infix,phil,Danish,anglophile,anglophile
infix,phil,Danish,francophilia,francophilia
infix,phil,Dutch,anglophile,anglofiel
infix,phil,Dutch,francophilia,francofilie
infix,phil,Estonian,anglophile,anglofiil
infix,phil,Estonian,francophilia,frankofiilia
infix,phil,Finnish,anglophile,anglofiili
infix,phil,Finnish,francophilia,francofilia
infix,phil,French,anglophile,anglophile
infix,phil,French,francophilia,francophilie
infix,phil,German,anglophile,anglophile
infix,phil,German,francophilia,frankophilie
infix,phil,Hungarian,anglophile,anglofil
infix,phil,Hungarian,francophilia,francophilia
infix,phil,Icelandic,anglophile,ensku
infix,phil,Icelandic,francophilia,frankophilia
infix,phil,Irish,anglophile,anglophile
infix,phil,Irish,francophilia,francophilia
infix,phil,Italian,anglophile,anglofilo
infix,phil,Italian,francophilia,francofilia
infix,phil,Latin,anglophile,anglophile
infix,phil,Latin,francophilia,francophilia
infix,phil,Latvian,anglophile,anglofils
infix,phil,Latvian,francophilia,frankofilija
infix,phil,Luxembourg,anglophile,anglophile
infix,phil,Luxembourg,francophilia,frankophilie
infix,phil,Norwegian,anglophile,anglofile
infix,phil,Norwegian,francophilia,francophilia
infix,phil,Portuguese,anglophile,anglófilo
infix,phil,Portuguese,francophilia,francofilia
infix,phil,Scottish,anglophile,anglophile
infix,phil,Scottish,francophilia,francophilia
infix,phil,Spanish,anglophile,anglófilo
infix,phil,Spanish,francophilia,francofilia
infix,phil,Swedish,anglophile,anglophile
infix,phil,Swedish,francophilia,francophilia
infix,phil,Welsh,anglophile,anglophile
infix,phil,Welsh,francophilia,francophilia
infix,phob,Basque,acrophobia,akrofobia
infix,phob,Basque,claustrophobic,klaustrofobikoa
infix,phob,Basque,euphobia,eufobiaren
infix,phob,Basque,zoophobia,zoofobia
infix,phob,Catalan,acrophobia,acrofòbia
infix,phob,Catalan,claustrophobic,claustrofòbic
infix,phob,Catalan,euphobia,eufòbia
infix,phob,Catalan,zoophobia,zoofòbia
infix,phob,Danish,acrophobia,akrofobi
infix,phob,Danish,claustrophobic,klaustrofobisk
infix,phob,Danish,euphobia,euphobia
infix,phob,Danish,zoophobia,dyrefobi
infix,phob,Dutch,acrophobia,acrofobie
infix,phob,Dutch,claustrophobic,claustrofobisch
infix,phob,Dutch,euphobia,euphobie
infix,phob,Dutch,zoophobia,zoöfobie
infix,phob,Estonian,acrophobia,Akrofoobia
infix,phob,Estonian,claustrophobic,klaustrofoobiline
infix,phob,Estonian,euphobia,eufoobia
infix,phob,Estonian,zoophobia,zoofoobia
infix,phob,Finnish,acrophobia,akrofobia
infix,phob,Finnish,claustrophobic,klaustrofobinen
infix,phob,Finnish,euphobia,eufobia
infix,phob,Finnish,zoophobia,zoofobia
infix,phob,French,acrophobia,acrophobie
infix,phob,French,claustrophobic,claustrophobe
infix,phob,French,euphobia,euphobie
infix,phob,French,zoophobia,zoophobie
infix,phob,German,acrophobia,akrophobie
infix,phob,German,claustrophobic,klaustrophobisch
infix,phob,German,euphobia,euphobie
infix,phob,German,zoophobia,zoophobie
infix,phob,Hungarian,acrophobia,akrofóbia
infix,phob,Hungarian,claustrophobic,klausztrofóbiás
infix,phob,Hungarian,euphobia,euphobia
infix,phob,Hungarian,zoophobia,zoophobia
infix,phob,Icelandic,acrophobia,loftfælni
infix,phob,Icelandic,claustrophobic,innilokunarkennd
infix,phob,Icelandic,euphobia,euphobia
infix,phob,Icelandic,zoophobia,dýragarður
infix,phob,Irish,acrophobia,acrophobia
infix,phob,Irish,claustrophobic,claustrophobic
infix,phob,Irish,euphobia,euphobia
infix,phob,Irish,zoophobia,zoophobia
infix,phob,Italian,acrophobia,acrofobia
infix,phob,Italian,claustrophobic,claustrofobico
infix,phob,Italian,euphobia,eufobia
infix,phob,Italian,zoophobia,zoofobia
infix,phob,Latin,acrophobia,acrophobia
infix,phob,Latin,claustrophobic,claustrophobic
infix,phob,Latin,euphobia,euphobia
infix,phob,Latin,zoophobia,zoophobia
infix,phob,Latvian,acrophobia,akrofobija
infix,phob,Latvian,claustrophobic,klaustrofobiski
infix,phob,Latvian,euphobia,eifobija
infix,phob,Latvian,zoophobia,zoofobija
infix,phob,Luxembourg,acrophobia,akrophobie
infix,phob,Luxembourg,claustrophobic,klaustrophobisch
infix,phob,Luxembourg,euphobia,euphobie
infix,phob,Luxembourg,zoophobia,zoophobie
infix,phob,Norwegian,acrophobia,acrophobia
infix,phob,Norwegian,claustrophobic,klaustrofobisk
infix,phob,Norwegian,euphobia,euphobia
infix,phob,Norwegian,zoophobia,zoophobia
infix,phob,Portuguese,acrophobia,acrofobia
infix,phob,Portuguese,claustrophobic,claustrofobico
infix,phob,Portuguese,euphobia,euphobia
infix,phob,Portuguese,zoophobia,zoofobia
infix,phob,Scottish,acrophobia,acrophobia
infix,phob,Scottish,claustrophobic,claustrophobic
infix,phob,Scottish,euphobia,euphobia
infix,phob,Scottish,zoophobia,zoophobia
infix,phob,Spanish,acrophobia,acrofobia
infix,phob,Spanish,claustrophobic,claustrofóbico
infix,phob,Spanish,euphobia,eufobia
infix,phob,Spanish,zoophobia,zoofobia
infix,phob,Swedish,acrophobia,acrophobia
infix,phob,Swedish,claustrophobic,klaustrofobisk
infix,phob,Swedish,euphobia,eufobia
infix,phob,Swedish,zoophobia,zoophobia
infix,phob,Welsh,acrophobia,acrophobia
infix,phob,Welsh,claustrophobic,clawstroffobig
infix,phob,Welsh,euphobia,euphobia
infix,phob,Welsh,zoophobia,zoophobia
infix,press,Basque,impressive,ikusgarria
infix,press,Catalan,impressive,impressionant
infix,press,Danish,impressive,imponerende
infix,press,Dutch,impressive,indrukwekkend
infix,press,Estonian,impressive,muljetavaldav
infix,press,Finnish,impressive,vaikuttava
infix,press,French,impressive,impressionnant
infix,press,German,impressive,beeindruckend
infix,press,Icelandic,impressive,impressive
infix,press,Italian,impressive,impressionante
infix,press,Latin,impressive,infigo
infix,press,Luxembourg,impressive,beeindruckend
infix,press,Norwegian,impressive,imponerende
infix,press,Portuguese,impressive,impressionante
infix,press,Spanish,impressive,impresionante
infix,press,Swedish,impressive,imponerande
infix,press,Welsh,impressive,trawiadol
infix,sym,Basque,assymetric,assimetrikoa
infix,sym,Catalan,assymetric,assymetric
infix,sym,Danish,assymetric,Assymetrisk
infix,sym,Dutch,assymetric,assymetrisch
infix,sym,Estonian,assymetric,assümeetriline
infix,sym,Finnish,assymetric,assymetric
infix,sym,French,assymetric,assymétrique
infix,sym,German,assymetric,assymetrisch
infix,sym,Hungarian,assymetric,asszimetrikus
infix,sym,Icelandic,assymetric,assymetrisk
infix,sym,Irish,assymetric,assymetric
infix,sym,Italian,assymetric,assimetrico
infix,sym,Latin,assymetric,assymetric
infix,sym,Luxembourg,assymetric,assymetrisch
infix,sym,Norwegian,assymetric,assymetrisk
infix,sym,Portuguese,assymetric,assimetrico
infix,sym,Scottish,assymetric,assymetric
infix,sym,Spanish,assymetric,asimétrico
infix,sym,Swedish,assymetric,assymetrisk
infix,sym,Welsh,assymetric,assymetric
infix,viv,Basque,convivial,segitzen
infix,viv,Catalan,convivial,convivial
infix,viv,Danish,convivial,selskabelig
infix,viv,Dutch,convivial,gezellig
infix,viv,Estonian,convivial,meeleolukas
infix,viv,Finnish,convivial,convivial
infix,viv,French,convivial,convivial
infix,viv,German,convivial,gesellig
infix,viv,Hungarian,convivial,kellemes
infix,viv,Icelandic,convivial,samsæriskenningar
infix,viv,Irish,convivial,suaimhneach
infix,viv,Italian,convivial,conviviale
infix,viv,Latin,convivial,convivium
infix,viv,Latvian,convivial,convivial
infix,viv,Luxembourg,convivial,gesellig
infix,viv,Norwegian,convivial,selskapelig
infix,viv,Portuguese,convivial,convivial
infix,viv,Scottish,convivial,convivial
infix,viv,Spanish,convivial,convivencia
infix,viv,Swedish,convivial,gemytlig
infix,viv,Welsh,convivial,llawen
prefix,a,Basque,abiotic,abiotikoa
prefix,a,Basque,amoral,amoral
prefix,a,Basque,atheist,ateo
prefix,a,Catalan,abiotic,abiòtic
prefix,a,Catalan,amoral,amoral
prefix,a,Catalan,atheist,ateu
prefix,a,Danish,abiotic,abiotiske
prefix,a,Danish,amoral,amoral
prefix,a,Danish,atheist,ateist
prefix,a,Dutch,abiotic,abiotisch
prefix,a,Dutch,amoral,amoreel
prefix,a,Dutch,atheist,atheïst
prefix,a,Estonian,abiotic,abiootiline
prefix,a,Estonian,amoral,amoral
prefix,a,Estonian,atheist,ateist
prefix,a,Finnish,abiotic,abioottinen
prefix,a,Finnish,amoral,amoral
prefix,a,Finnish,atheist,ateisti
prefix,a,French,abiotic,abiotiques
prefix,a,French,amoral,amoral
prefix,a,French,atheist,athée
prefix,a,German,abiotic,abiotischen
prefix,a,German,amoral,amoralisch
prefix,a,German,atheist,Atheist
prefix,a,Hungarian,abiotic,abiotikus
prefix,a,Hungarian,amoral,amorális
prefix,a,Hungarian,atheist,ateista
prefix,a,Icelandic,abiotic,ófrumleg
prefix,a,Icelandic,amoral,amoral
prefix,a,Icelandic,atheist,atheist
prefix,a,Irish,abiotic,aibitheach
prefix,a,Irish,amoral,amoral
prefix,a,Irish,atheist,aindiachaí
prefix,a,Italian,abiotic,abiotico
prefix,a,Italian,amoral,amorale
prefix,a,Italian,atheist,ateo
prefix,a,Latin,abiotic,abiotic
prefix,a,Latin,amoral,amoral
prefix,a,Latin,atheist,atheus
prefix,a,Latvian,abiotic,abiotikas
prefix,a,Latvian,amoral,amoral
prefix,a,Latvian,atheist,ateists
prefix,a,Luxembourg,abiotic,abiotischen
prefix,a,Luxembourg,amoral,amoralisch
prefix,a,Luxembourg,atheist,Atheist
prefix,a,Norwegian,abiotic,abiotisk
prefix,a,Norwegian,amoral,amoral
prefix,a,Norwegian,atheist,ateist
prefix,a,Portuguese,abiotic,abiotico
prefix,a,Portuguese,amoral,amoral
prefix,a,Portuguese,atheist,ateu
prefix,a,Scottish,abiotic,abiotic
prefix,a,Scottish,amoral,amoral
prefix,a,Scottish,atheist,atheist
prefix,a,Spanish,abiotic,abiótico
prefix,a,Spanish,amoral,amoral
prefix,a,Spanish,atheist,ateo
prefix,a,Swedish,abiotic,abiotisk
prefix,a,Swedish,amoral,omoralisk
prefix,a,Swedish,atheist,ateist
prefix,a,Welsh,abiotic,anfiotig
prefix,a,Welsh,amoral,amoral
prefix,a,Welsh,atheist,anffyddiwr
prefix,ab,Basque,abnormal,anormala
prefix,ab,Basque,abstract,abstraktua
prefix,ab,Catalan,abnormal,anormal
prefix,ab,Catalan,absent,absent
prefix,ab,Catalan,abstract,abstract
prefix,ab,Danish,abnormal,unormal
prefix,ab,Danish,absent,mangler
prefix,ab,Danish,abstract,abstrakt
prefix,ab,Dutch,abnormal,abnormaal
prefix,ab,Dutch,absent,afwezig
prefix,ab,Dutch,abstract,abstract
prefix,ab,Estonian,abnormal,ebanormaalne
prefix,ab,Estonian,absent,puudub
prefix,ab,Estonian,abstract,abstraktne
prefix,ab,Finnish,abnormal,epänormaali
prefix,ab,Finnish,absent,poissa
prefix,ab,Finnish,abstract,abstrakti
prefix,ab,French,abnormal,anormal
prefix,ab,French,absent,absent
prefix,ab,French,abstract,abstrait
prefix,ab,German,abnormal,abnorm
prefix,ab,German,absent,abwesend
prefix,ab,German,abstract,abstrakt
prefix,ab,Hungarian,abnormal,kóros
prefix,ab,Hungarian,absent,hiányzik
prefix,ab,Hungarian,abstract,absztrakt
prefix,ab,Icelandic,abnormal,óeðlileg
prefix,ab,Icelandic,absent,engin
prefix,ab,Icelandic,abstract,abstrakt
